cawbi,-1.4055796195758765,0.7992408940598867,   218.0,  -80.533780, 45.793130, Britt ON
cawbm,-1.233377405382452,0.8478010143380976,    821.0,  -70.667320, 48.575420, Lac Castor QC
cawgj,-1.4764878089351536,0.8246284534050653,   543.0,  -84.596520, 47.247730, Montreal River ON
cawhk,-1.9922027590585716,0.9348074234185572,   798.0, -114.144810, 53.560520, Carvel AB
cawhn,-1.9191645697533901,0.9584150971500699,   654.0, -109.960030, 54.913140, Jimmy Lake AB
cawkr,-1.3888310918067537,0.7673144595557398,   391.0,  -79.574160, 43.963880, King ON
cawso,-1.4203587172874752,0.7569840284289608,   327.0,  -81.380560, 43.371990, Exeter ON
cawtp,-0.9272691031086866,0.8259868606167495,   100.0,  -53.128606, 47.325561, Holyrood NL
cawuj,-2.137802486774512,0.8555012328659645,    113.0, -122.487060, 49.016610, Aldergrove BC
cawvy,-1.2551303447596913,0.8106977048134697,   120.0,  -71.913671, 46.449557, Villeroy QC
cawww,-2.0809667120677906,0.9720597311495586,  1044.0, -119.230610, 55.694920, Spirit River AB
caxam,-1.1798581069231358,0.8461452222134238,   732.0,  -67.600890, 48.480550, Valdirene QC
caxbe,-1.8357856533039878,0.8826334244249346,   594.0, -105.182770, 50.571170, Bethune SK
caxbu,-1.9232746439487636,0.8781205269589266,   878.0, -110.195520, 50.312600, Schuler AB
caxdr,-1.6196088209226345,0.8701878302674111,   441.0,  -92.796750, 49.858090, Dryden ON
caxft,-1.3284788277669939,0.7861135742257523,   167.0,  -76.116230, 45.040990, Franktown ON
caxfw,-1.76427583303294,0.8822431676206008,     564.0, -101.085559, 50.548810, Foxwarren MB
caxgo,-1.111849956624983,0.7871178382288075,    241.0,  -63.704310, 45.098530, Halifax NS
caxla,-1.3580064803865324,0.8473821370044612,   421.0,  -77.808040, 48.551420, Landrienne QC
caxmb,-1.050782629931422,0.8019704153896918,    124.0,  -60.205410, 45.949520, Marion Bridge NS
caxme,-1.0094045391907118,0.8539939678880424,   559.0,  -57.834620, 48.930250, Marble Mountain NL
caxnc,-1.1466668305218182,0.8067280063853104,   126.0,  -65.699170, 46.222110, Chipman NB
caxni,-1.555464655666397,0.8526539027432359,    511.0,  -89.121560, 48.853470, Lasseter ON
caxpg,-2.145964171107139,0.9357650847032792,   1131.0, -122.954690, 53.615390, Prince George BC
caxra,-1.8752446998116596,0.9166566974479652,   544.0, -107.443607, 52.520560, Radisson SK
caxsi,-2.159961710686561,0.8527839298279574,    748.0, -123.756690, 48.860920, Mt Sicker BC
caxsm,-1.9791887100454788,0.8937171384032537,   986.0, -113.399160, 51.206220, Strathmore AB
caxss,-2.0780621642931454,0.8791125551151668,  1913.0, -119.064192, 50.369439, Silver Star BC
caxti,-1.4275718162791438,0.8601242617308159,   267.0,  -81.793840, 49.281490, Timmins ON
caxwl,-1.7065818959517394,0.8753344579936854,   286.0,  -97.779940, 50.152970, Woodlands MB
usabc,-2.825275961431741,1.0610195569911907,     58.0, -161.876389, 60.791943, Bethel AK
usabr,-1.7176366377152494,0.7933539576798966,   421.0,  -98.413330, 45.455833, Aberdeen SD
usabx,-1.8644286122618177,0.6134783984386283,  1813.0, -106.823891, 35.149723, Albuquerque NM
usacg,-2.3654300665366303,0.9922681892380322,    82.0, -135.529160, 56.852779, Juneau AK
usaec,-2.8849419551260937,1.125936172511717,     27.0, -165.294998, 64.511391, Nome FAA AK
usahg,-2.641581495766326,1.0598671406084863,    108.0, -151.351471, 60.725914, Anchorage/Kenai AK
usaih,-2.5534361900068836,1.0378067125607604,    39.0, -146.301117, 59.461945, Middleton Islands AK
usakc,-2.73369943892384,1.0241494898586159,      43.0, -156.629440, 58.679443, King Salmon AK
usakq,-1.3440320215582298,0.6454934563249612,    77.0,  -77.007362, 36.984051, Norfolk VA
usama,-1.775161716209288,0.6149376775579373,   1128.0, -101.709274, 35.233334, Amarillo TX
usamx,-1.4034657876055283,0.4469977405321317,    33.0,  -80.412666, 25.611084, Miami FL
usapd,-2.5743856804058827,1.1350768071631414,   824.0, -147.501434, 65.035110, Fairbanks AK
usapx,-1.47863484095356,0.7837636482784122,     475.0,  -84.719536, 44.906349, North Central MI
usarx,-1.5915850954221096,0.7648517424294324,   413.0,  -91.191109, 43.822777, La Crosse WI
usatx,-2.1379532325503137,0.8411546366115652,   195.0, -122.495697, 48.194611, Seattle WA
usbbx,-2.122872150771358,0.6893289547096112,     67.0, -121.631615, 39.495640, Beale AFB CA
usbgm,-1.3261836490905738,0.7365236313352324,   519.0,  -75.984726, 42.199696, Binghamton NY
usbhx,-2.1693075601701977,0.706833646238593,    766.0, -124.292168, 40.498585, Eureka CA
usbis,-1.7586035121317205,0.8163050133751721,   534.0, -100.760559, 46.770832, Bismarck ND
usblx,-1.8955463180188485,0.8002994152237959,  1128.0, -108.606804, 45.853779, Billings MT
usbmx,-1.5144250628431348,0.5789678920318637,   231.0,  -86.770164, 33.172417, Birmingham AL
usbox,-1.2415724912557204,0.7322664351746861,    70.0,  -71.136864, 41.955776, Boston MA
usbro,-1.7002817489975848,0.45231953533843705,   26.0,  -97.418968, 25.916000, Brownsville TX
usbuf,-1.374216023037079,0.7495977549167039,    240.0,  -78.736778, 42.948788, Buffalo NY
usbyx,-1.4259892062087647,0.4293073600961441,    26.0,  -81.703163, 24.597500, Key West FL
uscae,-1.4157810434343818,0.5925169903937509,   104.0,  -81.118279, 33.948723, Columbia SC
uscbw,-1.1834454051972696,0.8035364875287873,   261.0,  -67.806427, 46.039249, Caribou ME
